kota,utc_datetime,local_datetime,t,hu,weather_desc,weather_desc_en,ws,wd,tcc,vs_text,analysis_date
Jakarta,2025-10-21 08:00:00,2025-10-21 15:00:00,29,71,Hujan Ringan,Light Rain,4.0,S,84,> 10 km,2025-10-21T00:00:00
Jakarta,2025-10-21 11:00:00,2025-10-21 18:00:00,27,84,Berawan,Mostly Cloudy,0.9,SE,99,< 9 km,2025-10-21T00:00:00
Jakarta,2025-10-21 14:00:00,2025-10-21 21:00:00,27,86,Berawan,Mostly Cloudy,5.0,NE,100,> 10 km,2025-10-21T00:00:00
Jakarta,2025-10-21 17:00:00,2025-10-22 00:00:00,26,90,Berawan,Mostly Cloudy,2.1,SE,100,> 10 km,2025-10-21T00:00:00
Jakarta,2025-10-21 20:00:00,2025-10-22 03:00:00,26,92,Berawan,Mostly Cloudy,1.9,NE,100,> 10 km,2025-10-21T00:00:00
Jakarta,2025-10-21 23:00:00,2025-10-22 06:00:00,26,88,Berawan,Mostly Cloudy,1.1,SE,100,> 10 km,2025-10-21T00:00:00
Jakarta,2025-10-22 02:00:00,2025-10-22 09:00:00,30,69,Berawan,Mostly Cloudy,3.1,NW,100,> 10 km,2025-10-21T00:00:00
Jakarta,2025-10-22 05:00:00,2025-10-22 12:00:00,31,65,Berawan,Mostly Cloudy,9.5,NW,100,> 10 km,2025-10-21T00:00:00
Jakarta,2025-10-22 08:00:00,2025-10-22 15:00:00,28,78,Hujan Petir,Thunderstorm,6.3,SW,93,> 10 km,2025-10-21T00:00:00
Jakarta,2025-10-22 11:00:00,2025-10-22 18:00:00,27,85,Berawan,Mostly Cloudy,1.8,N,100,< 10 km,2025-10-21T00:00:00
Jakarta,2025-10-22 14:00:00,2025-10-22 21:00:00,26,90,Hujan Petir,Thunderstorm,1.0,SE,100,< 10 km,2025-10-21T00:00:00
Jakarta,2025-10-22 17:00:00,2025-10-23 00:00:00,25,93,Hujan Ringan,Light Rain,3.5,SW,100,> 10 km,2025-10-21T00:00:00
Jakarta,2025-10-22 20:00:00,2025-10-23 03:00:00,25,96,Berawan,Mostly Cloudy,3.8,SW,100,< 10 km,2025-10-21T00:00:00
Jakarta,2025-10-22 23:00:00,2025-10-23 06:00:00,26,89,Berawan,Mostly Cloudy,5.2,SW,100,> 10 km,2025-10-21T00:00:00
Jakarta,2025-10-23 02:00:00,2025-10-23 09:00:00,30,73,Berawan,Mostly Cloudy,5.2,SW,100,> 10 km,2025-10-21T00:00:00
Jakarta,2025-10-23 05:00:00,2025-10-23 12:00:00,30,71,Berawan,Mostly Cloudy,6.8,S,100,> 10 km,2025-10-21T00:00:00
Jakarta,2025-10-23 08:00:00,2025-10-23 15:00:00,28,83,Hujan Ringan,Light Rain,6.8,S,100,> 10 km,2025-10-21T00:00:00
Jakarta,2025-10-23 11:00:00,2025-10-23 18:00:00,28,89,Hujan Ringan,Light Rain,1.4,NE,100,> 10 km,2025-10-21T00:00:00
Jakarta,2025-10-23 14:00:00,2025-10-23 21:00:00,28,89,Berawan,Mostly Cloudy,1.4,NE,100,> 10 km,2025-10-21T00:00:00
Tangerang,2025-10-21 08:00:00,2025-10-21 15:00:00,32,68,Hujan Ringan,Light Rain,4.8,SE,85,> 10 km,2025-10-21T00:00:00
Tangerang,2025-10-21 11:00:00,2025-10-21 18:00:00,27,89,Hujan Ringan,Light Rain,6.0,N,99,> 10 km,2025-10-21T00:00:00
Tangerang,2025-10-21 14:00:00,2025-10-21 21:00:00,24,92,Berawan,Mostly Cloudy,4.0,NE,100,> 10 km,2025-10-21T00:00:00
Tangerang,2025-10-21 17:00:00,2025-10-22 00:00:00,24,96,Berawan,Mostly Cloudy,2.7,SE,100,> 10 km,2025-10-21T00:00:00
Tangerang,2025-10-21 20:00:00,2025-10-22 03:00:00,24,97,Berawan,Mostly Cloudy,0.7,NE,100,> 10 km,2025-10-21T00:00:00
Tangerang,2025-10-21 23:00:00,2025-10-22 06:00:00,24,92,Berawan,Mostly Cloudy,1.1,S,99,> 10 km,2025-10-21T00:00:00
Tangerang,2025-10-22 02:00:00,2025-10-22 09:00:00,29,69,Berawan,Mostly Cloudy,2.8,NW,100,> 10 km,2025-10-21T00:00:00
Tangerang,2025-10-22 05:00:00,2025-10-22 12:00:00,34,67,Hujan Ringan,Light Rain,8.8,NW,100,> 10 km,2025-10-21T00:00:00
Tangerang,2025-10-22 08:00:00,2025-10-22 15:00:00,32,82,Hujan Ringan,Light Rain,9.1,SW,95,> 10 km,2025-10-21T00:00:00
Tangerang,2025-10-22 11:00:00,2025-10-22 18:00:00,27,93,Berawan,Mostly Cloudy,5.6,NW,100,> 10 km,2025-10-21T00:00:00
Tangerang,2025-10-22 14:00:00,2025-10-22 21:00:00,24,96,Berawan,Mostly Cloudy,0.9,SW,100,> 10 km,2025-10-21T00:00:00
Tangerang,2025-10-22 17:00:00,2025-10-23 00:00:00,24,97,Hujan Ringan,Light Rain,4.7,SW,100,> 10 km,2025-10-21T00:00:00
Tangerang,2025-10-22 20:00:00,2025-10-23 03:00:00,24,96,Berawan,Mostly Cloudy,5.2,SW,100,> 10 km,2025-10-21T00:00:00
Tangerang,2025-10-22 23:00:00,2025-10-23 06:00:00,24,89,Berawan,Mostly Cloudy,6.7,SW,100,> 10 km,2025-10-21T00:00:00
Tangerang,2025-10-23 02:00:00,2025-10-23 09:00:00,31,72,Hujan Sedang,Moderate Rain,6.7,SW,100,> 10 km,2025-10-21T00:00:00
Tangerang,2025-10-23 05:00:00,2025-10-23 12:00:00,34,70,Hujan Sedang,Moderate Rain,9.6,S,100,> 10 km,2025-10-21T00:00:00
Tangerang,2025-10-23 08:00:00,2025-10-23 15:00:00,29,86,Berawan,Mostly Cloudy,9.6,S,100,> 10 km,2025-10-21T00:00:00
Tangerang,2025-10-23 11:00:00,2025-10-23 18:00:00,27,88,Berawan,Mostly Cloudy,2.0,N,100,> 10 km,2025-10-21T00:00:00
Tangerang,2025-10-23 14:00:00,2025-10-23 21:00:00,26,87,Berawan,Mostly Cloudy,2.0,N,100,> 10 km,2025-10-21T00:00:00
Depok,2025-10-21 08:00:00,2025-10-21 15:00:00,30,73,Hujan Ringan,Light Rain,1.7,E,87,< 10 km,2025-10-21T00:00:00
Depok,2025-10-21 11:00:00,2025-10-21 18:00:00,28,87,Hujan Ringan,Light Rain,7.8,NE,100,< 10 km,2025-10-21T00:00:00
Depok,2025-10-21 14:00:00,2025-10-21 21:00:00,28,92,Berawan,Mostly Cloudy,5.4,NE,100,< 10 km,2025-10-21T00:00:00
Depok,2025-10-21 17:00:00,2025-10-22 00:00:00,27,96,Berawan,Mostly Cloudy,2.4,SW,100,< 10 km,2025-10-21T00:00:00
Depok,2025-10-21 20:00:00,2025-10-22 03:00:00,25,97,Berawan,Mostly Cloudy,1.0,N,100,> 10 km,2025-10-21T00:00:00
Depok,2025-10-21 23:00:00,2025-10-22 06:00:00,25,89,Berawan,Mostly Cloudy,4.1,SE,100,< 10 km,2025-10-21T00:00:00
Depok,2025-10-22 02:00:00,2025-10-22 09:00:00,30,69,Berawan,Mostly Cloudy,4.8,NW,100,< 10 km,2025-10-21T00:00:00
Depok,2025-10-22 05:00:00,2025-10-22 12:00:00,33,60,Berawan,Mostly Cloudy,5.2,NW,100,> 10 km,2025-10-21T00:00:00
Depok,2025-10-22 08:00:00,2025-10-22 15:00:00,27,86,Hujan Petir,Thunderstorm,6.5,S,99,< 7 km,2025-10-21T00:00:00
Depok,2025-10-22 11:00:00,2025-10-22 18:00:00,26,91,Hujan Ringan,Light Rain,1.2,E,100,< 9 km,2025-10-21T00:00:00
Depok,2025-10-22 14:00:00,2025-10-22 21:00:00,25,95,Hujan Ringan,Light Rain,1.7,N,100,< 6 km,2025-10-21T00:00:00
Depok,2025-10-22 17:00:00,2025-10-23 00:00:00,24,97,Hujan Ringan,Light Rain,1.7,NW,100,> 10 km,2025-10-21T00:00:00
Depok,2025-10-22 20:00:00,2025-10-23 03:00:00,24,98,Berawan,Mostly Cloudy,2.3,SW,100,< 10 km,2025-10-21T00:00:00
Depok,2025-10-22 23:00:00,2025-10-23 06:00:00,25,92,Berawan,Mostly Cloudy,0.6,NW,95,> 10 km,2025-10-21T00:00:00
Depok,2025-10-23 02:00:00,2025-10-23 09:00:00,30,73,Hujan Ringan,Light Rain,0.6,NW,100,> 10 km,2025-10-21T00:00:00
Depok,2025-10-23 05:00:00,2025-10-23 12:00:00,28,79,Hujan Petir,Thunderstorm,3.0,SW,100,< 7 km,2025-10-21T00:00:00
Depok,2025-10-23 08:00:00,2025-10-23 15:00:00,28,82,Petir,Thunder,3.0,SW,100,< 7 km,2025-10-21T00:00:00
Depok,2025-10-23 11:00:00,2025-10-23 18:00:00,27,90,Berawan,Mostly Cloudy,3.0,NE,100,> 10 km,2025-10-21T00:00:00
Depok,2025-10-23 14:00:00,2025-10-23 21:00:00,26,92,Berawan,Mostly Cloudy,3.0,NE,100,> 10 km,2025-10-21T00:00:00
Bogor,2025-10-21 08:00:00,2025-10-21 15:00:00,27,80,Hujan Ringan,Light Rain,6.0,SE,75,< 10 km,2025-10-21T00:00:00
Bogor,2025-10-21 11:00:00,2025-10-21 18:00:00,27,90,Berawan,Mostly Cloudy,3.4,SE,100,< 10 km,2025-10-21T00:00:00
Bogor,2025-10-21 14:00:00,2025-10-21 21:00:00,25,92,Hujan Ringan,Light Rain,2.2,E,100,< 10 km,2025-10-21T00:00:00
Bogor,2025-10-21 17:00:00,2025-10-22 00:00:00,24,92,Berawan,Mostly Cloudy,5.5,SE,100,< 10 km,2025-10-21T00:00:00
Bogor,2025-10-21 20:00:00,2025-10-22 03:00:00,23,89,Berawan,Mostly Cloudy,7.4,SE,100,> 10 km,2025-10-21T00:00:00
Bogor,2025-10-21 23:00:00,2025-10-22 06:00:00,23,82,Berawan,Mostly Cloudy,1.9,E,100,< 10 km,2025-10-21T00:00:00
Bogor,2025-10-22 02:00:00,2025-10-22 09:00:00,28,67,Berawan,Mostly Cloudy,6.4,W,100,< 10 km,2025-10-21T00:00:00
Bogor,2025-10-22 05:00:00,2025-10-22 12:00:00,27,74,Hujan Ringan,Light Rain,1.7,E,98,> 10 km,2025-10-21T00:00:00
Bogor,2025-10-22 08:00:00,2025-10-22 15:00:00,23,96,Hujan Petir,Thunderstorm,3.5,S,100,< 7 km,2025-10-21T00:00:00
Bogor,2025-10-22 11:00:00,2025-10-22 18:00:00,23,96,Hujan Ringan,Light Rain,1.9,E,100,< 6 km,2025-10-21T00:00:00
Bogor,2025-10-22 14:00:00,2025-10-22 21:00:00,22,97,Hujan Ringan,Light Rain,1.0,SE,100,< 7 km,2025-10-21T00:00:00
Bogor,2025-10-22 17:00:00,2025-10-23 00:00:00,22,96,Berawan,Mostly Cloudy,4.7,SE,100,< 8 km,2025-10-21T00:00:00
Bogor,2025-10-22 20:00:00,2025-10-23 03:00:00,21,95,Berawan,Mostly Cloudy,11.9,SE,100,< 9 km,2025-10-21T00:00:00
Bogor,2025-10-22 23:00:00,2025-10-23 06:00:00,24,87,Cerah Berawan,Partly Cloudy,12.9,SE,88,> 10 km,2025-10-21T00:00:00
Bogor,2025-10-23 02:00:00,2025-10-23 09:00:00,28,66,Hujan Ringan,Light Rain,12.9,SE,98,> 10 km,2025-10-21T00:00:00
Bogor,2025-10-23 05:00:00,2025-10-23 12:00:00,26,75,Hujan Ringan,Light Rain,13.0,S,100,< 10 km,2025-10-21T00:00:00
Bogor,2025-10-23 08:00:00,2025-10-23 15:00:00,25,79,Berawan,Mostly Cloudy,13.0,S,100,< 10 km,2025-10-21T00:00:00
Bogor,2025-10-23 11:00:00,2025-10-23 18:00:00,24,81,Berawan,Mostly Cloudy,12.7,SE,100,> 10 km,2025-10-21T00:00:00
Bogor,2025-10-23 14:00:00,2025-10-23 21:00:00,23,85,Berawan,Mostly Cloudy,12.7,SE,100,> 10 km,2025-10-21T00:00:00
Bandung,2025-10-21 08:00:00,2025-10-21 15:00:00,23,79,Hujan Sedang,Moderate Rain,6.4,S,95,< 10 km,2025-10-21T00:00:00
Bandung,2025-10-21 11:00:00,2025-10-21 18:00:00,21,93,Hujan Ringan,Light Rain,1.5,NW,100,< 6 km,2025-10-21T00:00:00
Bandung,2025-10-21 14:00:00,2025-10-21 21:00:00,20,94,Berawan,Mostly Cloudy,1.0,NE,100,< 10 km,2025-10-21T00:00:00
Bandung,2025-10-21 17:00:00,2025-10-22 00:00:00,20,92,Berawan,Mostly Cloudy,2.1,NE,100,< 10 km,2025-10-21T00:00:00
Bandung,2025-10-21 20:00:00,2025-10-22 03:00:00,21,85,Berawan,Mostly Cloudy,0.5,N,99,> 10 km,2025-10-21T00:00:00
Bandung,2025-10-21 23:00:00,2025-10-22 06:00:00,22,87,Berawan,Mostly Cloudy,1.3,E,100,< 10 km,2025-10-21T00:00:00
Bandung,2025-10-22 02:00:00,2025-10-22 09:00:00,27,64,Berawan,Mostly Cloudy,6.1,S,97,< 10 km,2025-10-21T00:00:00
Bandung,2025-10-22 05:00:00,2025-10-22 12:00:00,23,81,Hujan Ringan,Light Rain,3.9,SW,100,< 8 km,2025-10-21T00:00:00
Bandung,2025-10-22 08:00:00,2025-10-22 15:00:00,22,89,Hujan Ringan,Light Rain,2.0,W,100,< 7 km,2025-10-21T00:00:00
Bandung,2025-10-22 11:00:00,2025-10-22 18:00:00,21,93,Hujan Ringan,Light Rain,2.5,NE,100,< 10 km,2025-10-21T00:00:00
Bandung,2025-10-22 14:00:00,2025-10-22 21:00:00,21,93,Berawan,Mostly Cloudy,4.3,W,100,< 8 km,2025-10-21T00:00:00
Bandung,2025-10-22 17:00:00,2025-10-23 00:00:00,20,94,Berawan,Mostly Cloudy,2.8,NE,99,> 10 km,2025-10-21T00:00:00
Bandung,2025-10-22 20:00:00,2025-10-23 03:00:00,20,91,Berawan,Mostly Cloudy,0.7,NW,100,< 10 km,2025-10-21T00:00:00
Bandung,2025-10-22 23:00:00,2025-10-23 06:00:00,21,90,Berawan,Mostly Cloudy,0.7,N,99,> 10 km,2025-10-21T00:00:00
Bandung,2025-10-23 02:00:00,2025-10-23 09:00:00,26,65,Berawan,Mostly Cloudy,0.7,N,99,> 10 km,2025-10-21T00:00:00
Bandung,2025-10-23 05:00:00,2025-10-23 12:00:00,23,81,Petir,Thunder,2.6,S,100,< 7 km,2025-10-21T00:00:00
Bandung,2025-10-23 08:00:00,2025-10-23 15:00:00,23,82,Petir,Thunder,2.6,S,100,< 7 km,2025-10-21T00:00:00
Bandung,2025-10-23 11:00:00,2025-10-23 18:00:00,22,86,Berawan,Mostly Cloudy,3.2,NE,100,> 10 km,2025-10-21T00:00:00
Bandung,2025-10-23 14:00:00,2025-10-23 21:00:00,21,86,Berawan,Mostly Cloudy,3.2,NE,100,> 10 km,2025-10-21T00:00:00
